Feature,Type
SPY_lag1,Unknown
SPY_lag2,Unknown
SPY_lag3,Unknown
SPY_lag5,Unknown
SPY_lag10,Unknown
SPY_lag20,Unknown
SPY_loglag1,Unknown
SPY_loglag2,Unknown
SPY_loglag3,Unknown
SPY_loglag5,Unknown
SPY_loglag10,Unknown
SPY_sq_lag1,Unknown
SPY_sq_lag2,Unknown
SPY_sq_lag3,Unknown
SPY_sq_lag5,Unknown
SPY_sq_lag10,Unknown
SPY_roll_mean_5,Unknown
SPY_roll_std_5,Unknown
SPY_roll_skew_5,Unknown
SPY_roll_kurt_5,Unknown
SPY_roll_min_5,Unknown
SPY_roll_max_5,Unknown
SPY_roll_q25_5,Unknown
SPY_roll_q75_5,Unknown
SPY_roll_mean_10,Unknown
SPY_roll_std_10,Unknown
SPY_roll_skew_10,Unknown
SPY_roll_kurt_10,Unknown
SPY_roll_min_10,Unknown
SPY_roll_max_10,Unknown
SPY_roll_q25_10,Unknown
SPY_roll_q75_10,Unknown
SPY_roll_mean_20,Unknown
SPY_roll_std_20,Unknown
SPY_roll_skew_20,Unknown
SPY_roll_kurt_20,Unknown
SPY_roll_min_20,Unknown
SPY_roll_max_20,Unknown
SPY_roll_q25_20,Unknown
SPY_roll_q75_20,Unknown
SPY_roll_mean_50,Unknown
SPY_roll_std_50,Unknown
SPY_roll_skew_50,Unknown
SPY_roll_kurt_50,Unknown
SPY_roll_min_50,Unknown
SPY_roll_max_50,Unknown
SPY_roll_q25_50,Unknown
SPY_roll_q75_50,Unknown
SPY_roll_mean_100,Unknown
SPY_roll_std_100,Unknown
SPY_roll_skew_100,Unknown
SPY_roll_kurt_100,Unknown
SPY_roll_min_100,Unknown
SPY_roll_max_100,Unknown
SPY_roll_q25_100,Unknown
SPY_roll_q75_100,Unknown
SPY_RSI_14,Unknown
SPY_RSI_21,Unknown
SPY_MACD,Unknown
SPY_MACD_signal,Unknown
SPY_MACD_hist,Unknown
SPY_BB_mid,Unknown
SPY_BB_upper,Unknown
SPY_BB_lower,Unknown
SPY_BB_width,Unknown
SPY_BB_position,Unknown
SPY_MA_5,Unknown
SPY_EMA_5,Unknown
SPY_MA_10,Unknown
SPY_EMA_10,Unknown
SPY_MA_20,Unknown
SPY_EMA_20,Unknown
SPY_MA_50,Unknown
SPY_EMA_50,Unknown
SPY_MA_200,Unknown
SPY_EMA_200,Unknown
SPY_price_MA20_ratio,Unknown
SPY_price_MA50_ratio,Unknown
SPY_price_MA200_ratio,Unknown
SPY_ROC_10,Unknown
SPY_ROC_20,Unknown
SPY_momentum_10,Unknown
SPY_momentum_20,Unknown
SPY_ATR,Unknown
SPY_hist_vol_5,Unknown
SPY_hist_vol_10,Unknown
SPY_hist_vol_20,Unknown
SPY_hist_vol_60,Unknown
SPY_ewma_vol_10,Unknown
SPY_ewma_vol_20,Unknown
SPY_ewma_vol_60,Unknown
SPY_realized_vol,Unknown
SPY_vol_of_vol_20,Unknown
SPY_vol_of_vol_60,Unknown
SPY_vol_ratio_5_20,Unknown
SPY_vol_ratio_10_60,Unknown
SPY_regime,Unknown
SPY_regime_low,Unknown
SPY_regime_medium,Unknown
SPY_regime_high,Unknown
SPY_regime_change,Unknown
SPY_days_in_regime,Unknown
day_of_week,Unknown
month,Unknown
quarter,Unknown
year,Unknown
day_of_year,Unknown
is_month_end,Unknown
is_month_start,Unknown
is_quarter_end,Unknown
is_year_end,Unknown
days_in_month,Unknown
days_until_month_end,Unknown
week_of_year,Unknown
day_sin,Unknown
day_cos,Unknown
month_sin,Unknown
month_cos,Unknown
SPY_QQQ_ratio,Unknown
SPY_TLT_ratio,Unknown
SPY_GLD_ratio,Unknown
SPY_USO_ratio,Unknown
SPY_QQQ_spread,Unknown
SPY_TLT_spread,Unknown
SPY_GLD_spread,Unknown
SPY_USO_spread,Unknown
corr_SPY_QQQ_20,Unknown
corr_SPY_TLT_20,Unknown
corr_SPY_GLD_20,Unknown
corr_SPY_USO_20,Unknown
corr_SPY_QQQ_60,Unknown
corr_SPY_TLT_60,Unknown
corr_SPY_GLD_60,Unknown
corr_SPY_USO_60,Unknown
vol_ratio_SPY_QQQ,Unknown
vol_ratio_SPY_TLT,Unknown
vol_ratio_SPY_GLD,Unknown
vol_ratio_SPY_USO,Unknown
