Feature,Importance
SPY_TLT_spread,Selected
SPY_vol_of_vol_20,Selected
corr_SPY_QQQ_60,Selected
SPY_price_MA200_ratio,Selected
SPY_vol_of_vol_60,Selected
SPY_roll_q25_5,Selected
SPY_MACD_signal,Selected
SPY_roll_q25_10,Selected
SPY_roll_q25_20,Selected
corr_SPY_USO_60,Selected
SPY_roll_max_5,Selected
days_until_month_end,Selected
SPY_roll_max_10,Selected
vol_ratio_SPY_QQQ,Selected
corr_SPY_TLT_20,Selected
SPY_roll_q75_5,Selected
vol_ratio_SPY_USO,Selected
SPY_roll_skew_100,Selected
SPY_roll_max_50,Selected
SPY_roll_mean_50,Selected
SPY_roll_min_10,Selected
corr_SPY_GLD_60,Selected
SPY_vol_ratio_5_20,Selected
corr_SPY_TLT_60,Selected
SPY_BB_width,Selected
SPY_roll_min_5,Selected
SPY_roll_q25_50,Selected
day_of_year,Selected
SPY_roll_kurt_20,Selected
corr_SPY_USO_20,Selected
vol_floor_50,Selected
vol_floor_200,Selected
